_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
659035,8053,TR-01447,6024,Leslie St,Leslie St,West,Cummer Ave,North,T9160,17,,LK,Existing,Provincial,00TS9162,Yes,Existing,0,315186.11199999996,4851284.55,-79.37092407,43.801451883999995,"{u'type': u'Point', u'coordinates': (-79.3709240707, 43.8014518879)}"
659036,8056,TR-03335,1090,Don Mills Rd,Lawrence Ave E,South,Don Mills Rd,West,T9156,16,,LK,Existing,Provincial,00TS9020,Yes,Existing,0,317369.687,4844119.386,-79.343955022,43.736923368,"{u'type': u'Point', u'coordinates': (-79.3439550163, 43.7369233744)}"
659037,8059,TR-04510,1,Mcdonald's Pl,Concorde Pl,West,Wynford Dr,North,T11260,16,,LKN,Existing,Provincial,S2611260,Yes,Existing,0,318630.83,4843128.131,-79.328324258,43.727978453,"{u'type': u'Point', u'coordinates': (-79.328324252, 43.7279784523)}"
659038,8076,TR-00781,61,Markbrook Lane,Steeles Ave W,South,Markbrook Lane,West,1157,1,,B,Existing,Provincial,0TS11100,Yes,Existing,0,297840.767,4846664.459,-79.586427695,43.759905943,"{u'type': u'Point', u'coordinates': (-79.5864276918, 43.7599059418)}"
659039,8079,TR-01004,313,Roncesvalles Ave,Roncesvalles Ave,East,Grenadier Rd,South,T4576,4,Roncesvalles Village,J,Existing,Provincial,0TS11600,Yes,Existing,0,308849.832,4834280.666999999,-79.449797659,43.648457663,"{u'type': u'Point', u'coordinates': (-79.4497976564, 43.6484576629)}"
659040,8081,TR-05035,93,York Rd,Bayview Ave,West,York Rd,South,T327,15,,LK,Existing,Provincial,0TS13056,Yes,Existing,0,314153.399,4845104.675,-79.383866034,43.745839688000004,"{u'type': u'Point', u'coordinates': (-79.3838660299, 43.7458396932)}"
659041,8086,TR-04912,95,Eringate Dr,Wellesworth Dr,East,Eringate Dr,South,T8649,2,,T,Existing,Provincial,S0308649,Yes,Existing,0,298295.689,4835640.076,-79.580644795,43.660676765,"{u'type': u'Point', u'coordinates': (-79.5806447938, 43.6606767625)}"
659042,8090,TR-04278,485,Midland Ave,Midland Ave,East,Hagley Rd,South,T1326,20,,LKN,Existing,Provincial,S3601326,Yes,Existing,0,324946.79,4841786.656,-79.24997798,43.715758981,"{u'type': u'Point', u'coordinates': (-79.2499779787, 43.715758985)}"
659043,8093,TR-00283,1000,Mount Pleasant Rd,Mount Pleasant Rd,West,Erskine Ave,North,T5817,15,,J,Existing,Provincial,00TS6376,Yes,Existing,0,313509.162,4841434.29,-79.39192443399999,43.712809592,"{u'type': u'Point', u'coordinates': (-79.3919244327, 43.7128095961)}"
659044,8096,TR-01593,40,Gordonridge Pl,Danforth Rd,East,Gordonridge Pl,North,T4950,20,,B,Existing,Provincial,0TS12068,Yes,Existing,0,324751.846,4843124.924,-79.252347594,43.727810215,"{u'type': u'Point', u'coordinates': (-79.2523476001, 43.7278102212)}"
659045,8102,TR-05001,790,Bay St,College St,South,Bay St,West,T813,11,,LK,Existing,Provincial,,Yes,Existing,0,313977.538,4835642.311000001,-79.386210765,43.660668688,"{u'type': u'Point', u'coordinates': (-79.3862107687, 43.6606686931)}"
659046,8103,TR-04995,2,Farmstead Rd,Leslie St,West,Farmstead Rd,North,T5441,15,,KR2,Existing,Provincial,TS13465P,Yes,Existing,0,316025.141,4846125.5030000005,-79.360604791,43.755002373,"{u'type': u'Point', u'coordinates': (-79.3606047855, 43.7550023706)}"
659047,8109,TR-00029,2909,St Clair Ave E,St Clair Ave E,South,Squires Ave,West,2262,19,,B,Existing,Provincial,00TS8600,Yes,Existing,0,320843.085,4840907.548,-79.30093088699999,43.707945993,"{u'type': u'Point', u'coordinates': (-79.3009308821, 43.7079459992)}"
659048,8153,TR-02972,1093,Queen St W,Queen St W,South,Dovercourt Rd,West,T6831,9,West Queen West,LK,Existing,Provincial,00TS6492,Yes,Existing,0,311043.62100000004,4833715.995,-79.422609649,43.643359669,"{u'type': u'Point', u'coordinates': (-79.4226096546, 43.6433596696)}"
659049,8155,TR-03006,6200,Finch Ave W,Finch Ave W,North,Albion Rd,East,T11041,1,,LKN,Temporarily Removed,Provincial,S0111041,Yes,Existing,0,297751.86600000004,4844806.678,-79.587507398,43.743182858999994,"{u'type': u'Point', u'coordinates': (-79.5875073965, 43.7431828603)}"
659050,8158,TR-01473,1100,Leslie St,Eglinton Ave E,North,Leslie St,West,T2287,15,,VS,Temporarily Removed,Provincial,0TS12066,Yes,Existing,0,316872.997,4841923.238,-79.350170377,43.71716364,"{u'type': u'Point', u'coordinates': (-79.350170379, 43.7171636384)}"
659051,8159,TR-01497,119,Varna Dr,Varna Dr,East,Ranee Ave,South,T7408,8,,LKN,Temporarily Removed,Provincial,S1507408,Yes,Existing,0,309202.022,4842615.868,-79.44536380699999,43.723483314,"{u'type': u'Point', u'coordinates': (-79.4453638026, 43.723483315)}"
659052,8162,TR-04554,155,Morningside Ave,Morningside Ave,East,Coronation Dr,North,T2937,25,,LKN,Existing,Provincial,S4402937,Yes,Existing,0,330276.125,4846963.676,-79.183596439,43.762193982,"{u'type': u'Point', u'coordinates': (-79.1835964359, 43.7621939802)}"
659053,8168,TR-01094,100,Seminole Ave,Danforth Rd,West,Seminole Ave,North,T4963,21,,V,Existing,Provincial,0TS11978,Yes,Existing,0,325362.825,4845367.24,-79.24467814100001,43.747976923,"{u'type': u'Point', u'coordinates': (-79.2446781448, 43.7479769239)}"
659054,8174,TR-03195,,,Kipling Ave,East,Kingsview Blvd,South,T4333,1,,LK,Existing,Provincial,00TS5124,Yes,Existing,0,299996.601,4839655.0,-79.559591524,43.696829271000006,"{u'type': u'Point', u'coordinates': (-79.5595915196, 43.6968292768)}"
659055,8176,TR-03517,310,Timberbank Blvd,Birchmount Rd,West,Timberbank Blvd,North,T459,22,,T,Existing,Provincial,S4000459,Yes,Existing,0,320463.997,4850828.182,-79.30534552600001,43.79725118100001,"{u'type': u'Point', u'coordinates': (-79.3053455203, 43.7972511867)}"
659056,8205,TR-04865,45,The Pond Rd,Keele St,West,The Pond Rd,South,T13374,7,DuKe Heights,LK,Existing,Provincial,0TS12946,Yes,Existing,0,305337.783,4847969.347,-79.493319891,43.77168394899999,"{u'type': u'Point', u'coordinates': (-79.4933198868, 43.7716839537)}"
659057,8220,TR-04963,1,Banbury Rd,Lawrence Ave E,North,Banbury Rd,East,T2815,15,,LKN,Existing,Provincial,,Yes,Existing,0,316336.89,4843861.458000001,-79.35678205100001,43.734618491999996,"{u'type': u'Point', u'coordinates': (-79.356782052, 43.7346184983)}"
659058,8222,TR-03106,,,Jane St,East,Eddystone Ave,South,T3884,7,,V,Existing,Provincial,0TS12426,Yes,Existing,0,303559.67699999997,4845439.592,-79.515400927,43.74891231,"{u'type': u'Point', u'coordinates': (-79.5154009261, 43.7489123122)}"
659059,8223,TR-03118,173,Torbarrie Rd,Torbarrie Rd,East,Judy Sgro Ave,South,T14529,7,,LKN,Existing,Provincial,S0714529,Yes,Existing,0,302906.739,4843036.638,-79.523499907,43.727281407,"{u'type': u'Point', u'coordinates': (-79.5234999094, 43.7272814101)}"
659060,8224,TR-03132,797,Jane St,Jane St,East,Haney Ave,South,T3901,5,,LK,Existing,Provincial,00TS6968,Yes,Existing,0,305238.13399999996,4837104.741,-79.494566532,43.673889017,"{u'type': u'Point', u'coordinates': (-79.4945665302, 43.6738890193)}"
659061,8227,TR-03098,,,Harefield Dr,West,Hinton Rd,North,T7821,1,,LKN,Existing,Provincial,S0207821,Yes,Existing,0,299197.172,4842980.6680000005,-79.56954392600001,43.726758864,"{u'type': u'Point', u'coordinates': (-79.5695439267, 43.7267588704)}"
659062,8229,TR-04134,850,Coxwell Ave,Coxwell Ave,West,Memorial Park Ave,South,T4905,14,,V,Existing,Provincial,00TS8230,Yes,Existing,0,318734.11199999996,4839109.107,-79.32714626,43.691800373999996,"{u'type': u'Point', u'coordinates': (-79.3271462623, 43.6918003756)}"
659063,8255,TR-00663,1983,Leslie St,Leslie St,East,Bannatyne Dr,North,2333,16,,B,Existing,Provincial,00TS9390,Yes,Existing,0,315973.929,4846580.071,-79.361231287,43.75909478,"{u'type': u'Point', u'coordinates': (-79.3612312853, 43.7590947865)}"
659064,8266,TR-01692,600,Ellesmere Rd,Ellesmere Rd,North,Birchmount Rd,West,T7679,21,,LK,Existing,Provincial,0TS11796,Yes,Existing,0,321552.456,4847072.327,-79.291936737,43.763420538999995,"{u'type': u'Point', u'coordinates': (-79.2919367342, 43.7634205366)}"
