_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
2474552,3489,TR-04203,226,Morningside Ave,Morningside Ave,West,Ling Rd,North,T14612,24,,LCN,Existing,Provincial,S4314612,No,,0,330093.76300000004,4847465.373,-79.185837633,43.766716021,"{u'type': u'Point', u'coordinates': (-79.1858376357, 43.7667160249)}"
2474553,3490,TR-04178,,,Burnhamthorpe Rd,North,The East Mall,East,T674,2,,RN1,Existing,Provincial,,No,,0,299990.512,4834059.924,-79.55961719,43.646466151000006,"{u'type': u'Point', u'coordinates': (-79.5596171869, 43.6464661522)}"
2474554,3491,TR-04184,2173,Kipling Ave,Kipling Ave,East,Snaresbrook Dr,South,T4373,1,,RN2,Existing,Provincial,S0204373,No,,0,299055.44,4842411.381,-79.571297069,43.721633497,"{u'type': u'Point', u'coordinates': (-79.5712970665, 43.721633499)}"
2474555,3492,TR-04171,1407,Warden Ave,Warden Ave,East,Canadian Rd,North,T8544,21,,LC,Existing,Provincial,0TS12796,No,,0,320893.908,4846590.969,-79.300130189,43.75910236,"{u'type': u'Point', u'coordinates': (-79.3001301867, 43.7591023664)}"
2474556,3493,TR-04175,2851,Morningside Ave,Morningside Ave,East,Oasis Blvd,South,T14104,23,,LKN,Existing,Provincial,S4214104,Yes,Existing,0,326285.015,4854099.143999999,-79.232877957,43.826547053,"{u'type': u'Point', u'coordinates': (-79.2328779541, 43.8265470509)}"
2474557,3495,TR-04092,1255,Military Trail,Ellesmere Rd,South,Military Trl,West,T7698,25,,LC,Existing,Provincial,0TS12794,No,,0,329869.67,4849654.5139999995,-79.18851868,43.786428163000004,"{u'type': u'Point', u'coordinates': (-79.1885186862, 43.7864281622)}"
2474558,3496,TR-04187,,,Mcnicoll Ave,North,Mccowan Rd,East,T12029,23,,RN1,Existing,Provincial,S4112029,No,,0,323161.57399999996,4853152.013,-79.271743688,43.818106075,"{u'type': u'Point', u'coordinates': (-79.2717436822, 43.8181060756)}"
2474559,3498,TR-04193,2683,Lawrence Ave E,Lawrence Ave E,South,Brockley Dr,East,T9930,21,,LKN,Existing,Provincial,S3709930,Yes,Existing,0,324008.531,4845826.704,-79.261477396,43.752148945,"{u'type': u'Point', u'coordinates': (-79.2614773971, 43.7521489432)}"
2474560,3499,TR-04194,3251,Sheppard Ave E,Sheppard Ave E,South,Palmdale Dr,West,T7224,22,,LK,Existing,Provincial,0TS12986,Yes,Existing,0,319987.577,4848670.212,-79.31132700399999,43.777837023000004,"{u'type': u'Point', u'coordinates': (-79.3113270053, 43.7778370225)}"
2474561,3500,TR-04204,3000,Victoria Park Ave,Victoria Park Ave,West,Ernest Ave,North,T8458,17,,LKN,Existing,Provincial,S3308458,Yes,Existing,0,318403.196,4850229.517,-79.330969898,43.791903293999994,"{u'type': u'Point', u'coordinates': (-79.3309699007, 43.7919032939)}"
2474562,3501,TR-04197,,,Midland Ave,East,Finch Ave E,South,T5702,23,,LC,Existing,Provincial,0TS12786,No,,0,322015.382,4851538.192,-79.286043978,43.803607568000004,"{u'type': u'Point', u'coordinates': (-79.28604398, 43.8036075696)}"
2474563,3502,TR-04224,,,Leslie St,East,Lawrence Ave E,North,T5453,16,,LC,Existing,Provincial,0TS12844,No,,0,316408.402,4843902.657,-79.35589342,43.734988224,"{u'type': u'Point', u'coordinates': (-79.3558934218, 43.734988223)}"
2474564,3503,TR-04196,743,Birchmount Rd,Birchmount Rd,East,Chelwood Rd,South,T394,20,,LCN,Existing,Provincial,S3500394,No,,0,322862.52,4842819.964,-79.275808927,43.725113626,"{u'type': u'Point', u'coordinates': (-79.2758089211, 43.7251136285)}"
2474565,3504,TR-04137,1,Rosemount Dr,Eglinton Ave E,North,Rosemount Dr,East,T2307,21,,U,Temporarily Removed,Provincial,00TS9680,No,,0,323024.76399999997,4843478.368,-79.273772869,43.731036066,"{u'type': u'Point', u'coordinates': (-79.2737728684, 43.7310360661)}"
2474566,3505,TR-04218,,,Cosburn Ave,North,Coxwell Ave,West,T852,14,,RN1,Existing,Provincial,S2900852,No,,0,318628.778,4839366.419,-79.32844633399999,43.694118468999996,"{u'type': u'Point', u'coordinates': (-79.3284463308, 43.6941184746)}"
2474567,3506,TR-04163,,,College St,Centre North,Spadina Ave,East,T844A,11,,Q10-SA,Existing,Provincial,TS12698R,No,,0,312896.445,4835345.945,-79.399619304,43.65801356,"{u'type': u'Point', u'coordinates': (-79.3996193028, 43.6580135607)}"
2474568,3507,TR-04215,185,North Queen St,North Queen St,East,Nova Rd,South,T13670,3,,LCN,Existing,Provincial,,No,,0,300222.225,4830670.936000001,-79.556716244,43.615962018000005,"{u'type': u'Point', u'coordinates': (-79.5567162395, 43.6159620208)}"
2474569,3508,TR-04226,,,Caledonia Rd,East,Bowie Ave,North,T703,8,,LCN,Existing,Provincial,S1500703,No,,0,307798.749,4839473.569,-79.462798183,43.695205638999994,"{u'type': u'Point', u'coordinates': (-79.4627981791, 43.6952056435)}"
2474570,3509,TR-04208,,,Finch Ave W,North,Greenview Ave,East,T3595,18,,RN1,Existing,Provincial,S2303595,No,,0,311376.11,4848813.166,-79.418304046,43.779250306,"{u'type': u'Point', u'coordinates': (-79.4183040407, 43.7792503041)}"
2474571,3510,TR-04211,1610,Keele St,Keele St,West,Rogers Rd,North,T14867,5,Rogers Road,LC,Existing,Provincial,0TS12920,No,,0,307075.786,4838038.008,-79.471773159,43.682286297,"{u'type': u'Point', u'coordinates': (-79.4717731583, 43.682286296)}"
2474572,3511,TR-04136,2200,Eglinton Ave E,Eglinton Ave E,North,Thermos Rd,East,T2315,21,,Q,Temporarily Removed,Provincial,0TS9724P,No,,0,322435.457,4843302.7639999995,-79.281093738,43.72946966399999,"{u'type': u'Point', u'coordinates': (-79.2810937411, 43.729469669)}"
2474573,3512,TR-04188,3880,Bathurst St,Bathurst St,West,Invermay Ave,North,T157,6,,LC,Existing,Provincial,0TS12778,No,,0,310018.141,4844640.586,-79.43521481100001,43.741702966000005,"{u'type': u'Point', u'coordinates': (-79.4352148116, 43.7417029679)}"
2474574,3513,TR-04221,3025,Lake Shore Blvd W,Lake Shore Blvd W,South,Tenth St,West,T5150,3,Lakeshore Village,LKN,Existing,Provincial,S0605150,Yes,Existing,0,304091.91,4828885.568,-79.508770532,43.599904885,"{u'type': u'Point', u'coordinates': (-79.5087705317, 43.599904891)}"
2474575,3514,TR-04145,720,College St,College St,North,Crawford St,East,T823,11,Little Italy,DIG-RE,Existing,Provincial,DST0007A,Yes,Existing,0,311346.221,4835036.955,-79.418842891,43.655247493000005,"{u'type': u'Point', u'coordinates': (-79.4188428908, 43.6552474974)}"
2474576,3516,TR-05191,697,Markham Rd,Markham Rd,East,Greenholm Crct,South,T15535,24,,LK,Existing,Provincial,,Yes,Existing,0,326862.932,4846937.3889999995,-79.225987534,43.76206685,"{u'type': u'Point', u'coordinates': (-79.22598753, 43.7620668557)}"
2474577,3517,TR-05194,2061,McCowan Rd,McCowan Rd,East,Commander Blvd,South,T1286,23,,LK,Existing,Provincial,,Yes,Existing,0,324027.1,4850635.07,-79.261074564,43.795428985,"{u'type': u'Point', u'coordinates': (-79.2610745675, 43.7954289866)}"
